Sample,Best Accuracy,Best Parameters
S1,17847.90014903677,"{'C': 10, 'epsilon': 0.01, 'kernel': 'rbf'}"
S2,18066.483797026896,"{'C': 10, 'epsilon': 0.2, 'kernel': 'rbf'}"
S3,18304.807656251713,"{'C': 10, 'epsilon': 0.2, 'kernel': 'rbf'}"
S4,18317.313617089778,"{'C': 10, 'epsilon': 0.2, 'kernel': 'rbf'}"
S5,17724.491745255986,"{'C': 10, 'epsilon': 0.2, 'kernel': 'rbf'}"
S1,17847.90014903677,"{'C': 10, 'epsilon': 0.01, 'kernel': 'rbf'}"
S2,18066.483797026896,"{'C': 10, 'epsilon': 0.2, 'kernel': 'rbf'}"
S3,18304.807656251713,"{'C': 10, 'epsilon': 0.2, 'kernel': 'rbf'}"
S4,18317.313617089778,"{'C': 10, 'epsilon': 0.2, 'kernel': 'rbf'}"
S5,17724.491745255986,"{'C': 10, 'epsilon': 0.2, 'kernel': 'rbf'}"
S6,19322.16340468312,"{'C': 10, 'epsilon': 0.01, 'kernel': 'rbf'}"
S7,17505.84820100375,"{'C': 10, 'epsilon': 0.01, 'kernel': 'rbf'}"
S8,18107.468338992574,"{'C': 10, 'epsilon': 0.01, 'kernel': 'rbf'}"
S9,18106.19977215245,"{'C': 10, 'epsilon': 0.01, 'kernel': 'rbf'}"
S10,18910.923501956837,"{'C': 10, 'epsilon': 0.2, 'kernel': 'rbf'}"
